Item,Total_Schools,Government_Schools,National_Schools,Other_Schools,Private,Pirivenas,Total_Students,Government_Schools,Other_Schools,Private,Pirivenas,New_Admissions,Total_Teachers,Government_Teachers,Others,Student/Teacher_Ratio_Government_Schools,Total_Expenditure_on_Education,Current_Expenditure,Capital_Expenditure,Expenditure_as_percentage_of_GDP,University Education,Universities,Students,Lecturers,Number_Graduating,New_Admissions
2000,10615,9976,317,639,78,561,4340412,4193908,146504,95383,51121,332892,194773,186097,8676,22,30929,23794,7135,2.46,,13,48296,3241,9374,11805
2001,10552,9891,320,661,78,583,4337258,4187146,150112,97206,52906,330316,198397,189485,8912,22,28283,23448,4835,2.01,,13,48212,3268,8896,11962
2002,10508,9829,323,679,80,599,4179217,4027075,152142,97174,54968,324611,196407,186999,9423,22,37209,31161,6048,2.35,,13,48666,3390,9027,12144
2003,10473,9790,323,683,85,598,4098465,3941685,156780,101047,55733,316344,196588,186695,9893,21,39116,31673,7443,2.15,,13,64291,3543,10730,25471
2004,10501,9765,324,736,85,651,4028186,3870628,157558,100683,56875,303269,197697,187337,10360,21,42340,33792,8548,2.03,,13,64801,3725,10525,13396
2005,10461,9723,324,738,85,653,4103512,3942077,161435,106262,55173,319078,199715,189234,10481,21,63557,50697,12860,2.59,,15,66386,3875,7154,14520
2006,10461,9714,327,747,93,654,4000714,3837548,163166,107874,55292,322431,217369,206559,10810,19,78344,61144,17200,2.67,,15,65206,4016,11713,16585
2007,10430,9678,328,752,94,658,4111022,3942185,168837,113884,54953,332200,222505,211424,11081,19,92540,72592,19948,2.59,,15,66996,4304,12005,17196
2008,10445,9662,330,783,92,691,4101509,3930374,171135,115070,56065,326466,224410,213212,11198,20,100083,77141,22942,2.27,,15,66891,4452,12958,20069
2009,10205,9410,334,795,98,697,4037896,3864824,173072,114974,58098,329832,225951,214307,11644,18,100506,82414,18092,2.08,,15,68768,4735,13952,20846
2010,10502,9685,340,817,98,719,4119525,3940072,179453,117362,62091,332562,224541,212457,12084,18,104248,85195,19053,1.86,,15,70477,4984,13042,21547
2011,10527,9714,342,813,97,716,4150376,3968104,182272,119627,62645,329757,229387,217112,12275,18,121369,99043,22326,1.86,,15,73828,5050,-,22016
